iter	RMSE
143	0.2081228729
144	0.2080736095
145	0.2079840706
146	0.2079449908
147	0.2079034368
148	0.2078371853
149	0.2077841559
150	0.2077701611
151	0.2076828095
152	0.2076826426
153	0.2076483597
154	0.2075995258
155	0.2075581752
156	0.2074812234
157	0.2073909847
158	0.2073059889
159	0.2072502381
160	0.2072245952
161	0.2070831353
162	0.2070098294
163	0.2069621666
164	0.2068389012
165	0.206811654
166	0.2067731857
167	0.2067508937
168	0.2066850909
169	0.206652359
170	0.2066296472
171	0.2065675208
172	0.2065296554
173	0.2064617195
174	0.2063523719
175	0.2063184877
176	0.2062922549
177	0.2062490913
178	0.206227319
179	0.206154233
180	0.2060511518
181	0.2059515882
182	0.2059336136
183	0.2058540659
184	0.2058356357
185	0.2058118922
186	0.2057760831
187	0.2057587826
188	0.2056076923
189	0.2055762069
190	0.2055531144
191	0.2055104943
192	0.2054859533
193	0.2054128738
194	0.2053819454
195	0.2053476222
196	0.2052900059
197	0.2052532092
198	0.2052371269
199	0.2051865081
200	0.2050687043
201	0.2050002413
202	0.2049837967
203	0.2048920801
204	0.2048708926
205	0.2048236369
206	0.204749912
207	0.2047054023
208	0.2046852987
209	0.20464017
210	0.2046168876
211	0.2045284303
212	0.2044448858
213	0.2043839012
214	0.204344562
215	0.2042831541
216	0.2041843865
217	0.2041686706
218	0.204119746
219	0.2040181851
220	0.2039524166
221	0.2038736428
222	0.2038215452
223	0.2037619287
224	0.2037240435
225	0.2036716848
226	0.2036302045
227	0.2035329349
228	0.2034166426
229	0.2033925057
230	0.2033385374
231	0.2033256333
232	0.2032642942
233	0.2032125448
234	0.2031488566
235	0.2031043817
236	0.2030761984
237	0.2030264697
238	0.2029627334
239	0.2029473802
240	0.2029352045
241	0.2028937154
242	0.2028747917
243	0.2028586883
244	0.2028132951
245	0.2027447037
246	0.2027320535
247	0.2026860364
248	0.2025804818
249	0.2025558262
250	0.2025322075
251	0.2025052129
252	0.2023895076
253	0.202341799
254	0.2022985849
255	0.2022611984
256	0.2022350896
257	0.202102661
258	0.2020620593
259	0.2020538787
260	0.2020202969
261	0.2019683349
262	0.2019454644
263	0.2019256522
264	0.2019100385
265	0.2018684415
266	0.2018310999
267	0.2017864245
268	0.2017787798
269	0.2017335818
270	0.2016157057
271	0.2015948102
272	0.2015343926
273	0.2014990936
274	0.2014721039
275	0.201437838
276	0.2014237801
277	0.2013898664
278	0.201375008
279	0.2013418532
280	0.2013083175
281	0.2012758764
282	0.2012442627
283	0.2011201055
284	0.2010889523
285	0.2010342314
286	0.2010209441
287	0.200958514
288	0.2009455684
289	0.2008896185
290	0.2008794869
291	0.2008689437
292	0.2008476814
293	0.2008186906
294	0.2007193819
295	0.2006996839
296	0.2006873962
297	0.2006335254
298	0.2005410162
299	0.200529044
300	0.2005010076
301	0.2004570375
302	0.2004295093
303	0.2004093123
304	0.2003806669
305	0.2003655077
306	0.2003463239
307	0.200258492
308	0.2002318095
309	0.2002057001
310	0.2001946299
311	0.2001839405
312	0.2001589708
313	0.2001236999
314	0.2000990727
315	0.1999988967
316	0.1999519515
317	0.1999432934
318	0.1999053336
319	0.1998808095
320	0.1998566742
321	0.1998414034
322	0.1998310701
323	0.1997973995
324	0.1997630377
325	0.1997386147
326	0.1997161323
327	0.1996935992
328	0.1995991369
329	0.1995820974
330	0.1995499355
331	0.1995280233
332	0.1995068259
333	0.1994171106
334	0.1993295772
335	0.1993131362
336	0.1993005083
337	0.1992786026
338	0.1992580261
339	0.1992487724
340	0.1991700164
341	0.1991539988
342	0.1991391679
343	0.199057502
344	0.1990482523
345	0.1989746276
346	0.1989612493
347	0.1989476019
348	0.1988767236
349	0.1988090442
350	0.1987900458
351	0.1987711745
352	0.1987651576
353	0.1987366191
354	0.1987147088
355	0.1987004377
356	0.1986343651
357	0.1986256245
358	0.1986134212
359	0.1985758416
360	0.1985656275
361	0.1985022306
362	0.1984898987
363	0.1984288093
364	0.198414787
365	0.1984065671
366	0.1983535664
367	0.1983454635
368	0.1983277288
369	0.1983121234
370	0.1983006948
371	0.1982835926
372	0.1982720251
373	0.1982595233
374	0.1982484498
375	0.198211898
376	0.1982052085
377	0.198193097
378	0.1981603563
379	0.1981441479
380	0.1981323381
381	0.1980747834
382	0.1980631682
383	0.1980243887
384	0.1980130173
385	0.1979974347
386	0.1979643488
387	0.19794979
388	0.1979387478
389	0.1979221315
390	0.197891289
391	0.1978805231
392	0.1978295971
393	0.1978158323
394	0.1978048464
395	0.197746935
396	0.1976893828
397	0.1976839346
398	0.1976779056
399	0.1976677366
400	0.1976579865
401	0.1976526634
402	0.1975978889
403	0.1975890644
404	0.1975792212
405	0.1975543672
406	0.1975443103
407	0.1975144175
408	0.1974785318
409	0.1974686581
410	0.1974540879
411	0.1974457414
412	0.1974329163
413	0.1974037661
414	0.1973742345
415	0.1973660909
416	0.1973605691
417	0.1973313047
418	0.1973228413
419	0.1972906999
420	0.1972387498
421	0.1972264219
422	0.1972217158
423	0.1972001152
424	0.1971923956
425	0.1971842038
426	0.1971753813
427	0.1971667096
428	0.1971588324
429	0.1971317789
430	0.1971091632
431	0.1971011186
432	0.1970927701
433	0.1970839388
434	0.1970744612
435	0.1970668451
436	0.1970402812
437	0.1970139542
438	0.1970060165
439	0.1969801358
440	0.1969503074
441	0.196942922
442	0.1969356489
443	0.1969112703
444	0.1968877527
445	0.1968812371
446	0.1968731368
447	0.1968488656
448	0.1968426828
449	0.1968352779
450	0.1968093411
451	0.1968020089
452	0.1967766387
453	0.1967662965
454	0.1967608961
455	0.1967368766
456	0.196730856
457	0.1966869919
458	0.1966806166
459	0.1966741074
460	0.1966672697
461	0.196657465
462	0.1966518439
463	0.1966367308
464	0.1966298499
465	0.1966227293
466	0.1966047517
467	0.1965989929
468	0.19659334
469	0.1965877517
470	0.1965672344
471	0.1965603752
472	0.1965553831
473	0.1965336516
474	0.1965118356
475	0.1964944242
476	0.1964884918
477	0.196477061
478	0.1964684797
479	0.1964472363
480	0.1964258341
481	0.1963873893
482	0.196374268
483	0.1963552763
484	0.1963425252
485	0.1963318059
486	0.1963236284
487	0.1963181747
488	0.1962886975
489	0.1962723351
490	0.1962343126
491	0.196218428
492	0.1962106241
493	0.1961938936
494	0.1961881941
495	0.1961688301
496	0.1961478249
497	0.1961426625
498	0.1961277341
499	0.196109828
500	0.1960907256
501	0.1960762407
502	0.196039955
503	0.1960233718
504	0.196006811
505	0.1960021534
506	0.1959982323
507	0.1959782179
508	0.195969154
509	0.1959643853
510	0.1959584945
511	0.1959373805
512	0.1959331003
513	0.1959133502
514	0.1958958868
515	0.1958915774
516	0.1958869611
517	0.1958802557
518	0.1958693277
519	0.1958555265
520	0.1958243678
521	0.1958133185
522	0.1958052097
523	0.1957949307
524	0.1957904131
525	0.19577453
526	0.195742348
527	0.195734139
528	0.1957159211
529	0.1956972946
530	0.1956877535
531	0.1956843237
532	0.1956807549
533	0.1956769034
534	0.1956608107
535	0.1956570409
536	0.195652993
537	0.1956475861
538	0.1956448659
539	0.195629462
540	0.1956253563
541	0.1956195417
542	0.1955936871
543	0.1955903575
544	0.1955867734
545	0.1955678048
546	0.1955450656
547	0.1955350957
548	0.1955316253
549	0.1955237384
550	0.1955180718
551	0.1955126927
552	0.1954977338
553	0.195475281
554	0.1954718576
555	0.1954584844
556	0.1954550179
557	0.195450992
558	0.1954371281
559	0.1954341253
560	0.1954311713
561	0.1954017358
562	0.1953896231
563	0.1953778589
564	0.1953599825
565	0.1953570769
566	0.1953540589
567	0.1953491885
568	0.195346239
569	0.1953430595
570	0.1953411103
571	0.1953272018
572	0.1953225806
573	0.1953179773
574	0.1953151063
575	0.1953090455
576	0.1953059316
577	0.1952831894
578	0.1952805533
579	0.1952752453
580	0.1952699445
581	0.1952635406
582	0.1952608544
583	0.1952457487
584	0.1952431083
585	0.1952412102
586	0.1952370874
587	0.1952346244
588	0.1952263462
589	0.1952236005
590	0.1952222781
591	0.195209472
592	0.1952071041
593	0.1951927838
594	0.1951870439
595	0.1951810045
596	0.1951746962
597	0.1951692949
598	0.1951524003
599	0.1951373792
600	0.195113245
601	0.1951110484
602	0.1951062809
603	0.1951040914
604	0.1951018044
605	0.1950951072
606	0.19508909
607	0.1950709938
608	0.1950445392
609	0.1950271482
610	0.1950232394
611	0.1950196608
612	0.195017458
613	0.1950153514
614	0.1950022216
615	0.1949922338
616	0.1949903546
617	0.1949886064
618	0.1949834902
619	0.1949725642
620	0.1949707762
621	0.1949686183
622	0.1949666554
623	0.1949626543
624	0.1949607348
625	0.1949588455
626	0.1949576705
627	0.1949528368
628	0.1949287808
629	0.1949136964
630	0.1948985628
631	0.1948971501
632	0.1948852408
633	0.1948834121
634	0.1948791295
635	0.1948744252
636	0.1948591838
637	0.1948498716
638	0.1948469588
639	0.1948323483
640	0.1948083995
641	0.1948039945
642	0.1948019553
643	0.1947788323
644	0.1947717875
645	0.1947518676
646	0.1947402651
647	0.194721897
648	0.1947178191
649	0.1947102151
650	0.1947071203
651	0.1946956632
652	0.1946859168
653	0.1946766217
654	0.1946671631
655	0.1946644816
656	0.1946436289
657	0.1946283563
658	0.1946196891
659	0.1946184776
660	0.1946171143
661	0.1946086457
662	0.1945993302
663	0.1945975391
664	0.1945958348
665	0.1945863508
666	0.1945696362
667	0.1945634145
668	0.1945541034
669	0.1945435544
670	0.194542536
671	0.1945385663
672	0.1945187849
673	0.194509162
674	0.1945001154
675	0.1944952765
676	0.1944868719
677	0.1944676931
678	0.1944649299
679	0.1944471973
680	0.1944371536
681	0.1944355342
682	0.1944324117
683	0.1944230751
684	0.1944123832
685	0.1944097079
686	0.1944011424
687	0.1943995946
688	0.1943980996
689	0.1943965988
690	0.1943956149
691	0.194394584
692	0.1943852817
693	0.1943839872
694	0.1943759498
695	0.1943718737
696	0.194370409
697	0.1943693418
698	0.1943515828
699	0.1943499797
700	0.1943387584
701	0.1943235217
702	0.194314249
703	0.1943047928
704	0.1942961086
705	0.1942798737
706	0.1942785256
707	0.1942720797
708	0.1942708052
709	0.1942630266
710	0.1942568401
711	0.1942486219
712	0.1942472352
713	0.1942398719
714	0.1942243473
715	0.1942219395
716	0.1942207228
717	0.1942118761
718	0.1942027769
719	0.1941930876
720	0.1941919482
721	0.1941803268
722	0.1941716991
723	0.1941612714
724	0.1941573673
725	0.1941559363
726	0.1941515515
727	0.1941470308
728	0.194144805
729	0.1941361238
730	0.1941293343
731	0.1941146455
732	0.1941137065
733	0.1941126693
734	0.1940984544
735	0.1940886661
736	0.1940860886
737	0.1940850889
738	0.1940760669
739	0.1940678608
740	0.1940634046
741	0.194055182
742	0.1940519901
743	0.194038401
744	0.1940306202
745	0.1940174504
746	0.1940153382
747	0.1940099842
748	0.1940042287
749	0.1940031532
750	0.1939904187
751	0.1939840074
752	0.1939774161
753	0.1939758906
754	0.1939675929
755	0.1939638087
756	0.1939604045
757	0.1939567195
758	0.1939557139
759	0.1939489376
760	0.1939393784
761	0.1939380304
762	0.1939370344
763	0.1939358792
764	0.1939291596
765	0.1939277503
766	0.193919483
767	0.1939143104
768	0.1939135241
769	0.1939068615
770	0.1939057773
771	0.1938985238
772	0.1938978244
773	0.1938906136
774	0.1938845812
775	0.1938789049
776	0.1938718658
777	0.1938633461
778	0.1938609147
779	0.1938485235
780	0.1938413273
781	0.1938358929
782	0.193830858
783	0.1938237561
784	0.1938200144
785	0.1938155335
786	0.1938103806
787	0.1937989823
788	0.1937963983
789	0.1937898988
790	0.1937826465
791	0.1937798529
792	0.1937760317
793	0.1937754585
794	0.1937692745
795	0.1937682004
796	0.1937662041
797	0.1937649399
798	0.1937618888
799	0.1937600957
800	0.1937593482
801	0.1937584872
802	0.1937566232
803	0.1937544725
804	0.1937430599
805	0.1937402607
806	0.193737217
807	0.1937360215
808	0.1937311442
809	0.193724156
810	0.1937131362
811	0.1937059694
812	0.1936957699
813	0.1936939301
814	0.1936836647
815	0.1936811024
816	0.1936751817
817	0.1936697292
818	0.1936643584
819	0.1936584978
820	0.1936539749
821	0.1936500445
822	0.1936473662
823	0.1936423308
824	0.1936402318
825	0.1936395491
826	0.193637889
827	0.1936352196
828	0.1936302003
829	0.1936253222
830	0.1936207439
831	0.1936126573
832	0.1936034524
833	0.1936003865
834	0.1935939733
835	0.1935921138
836	0.1935831806
837	0.1935793932
838	0.1935780946
839	0.1935764371
840	0.1935750165
841	0.1935702769
842	0.1935686501
843	0.193565839
844	0.1935589749
845	0.1935573354
846	0.193555798
847	0.1935472406
848	0.1935455153
849	0.1935433068
850	0.1935394027
851	0.1935379074
852	0.1935323255
853	0.1935286253
854	0.1935276161
855	0.1935240952
856	0.1935221839
857	0.193519551
858	0.1935163349
859	0.1935077624
860	0.1934998012
861	0.1934955541
862	0.1934936108
863	0.1934910868
864	0.1934898645
865	0.1934862028
866	0.1934857911
867	0.193480303
868	0.1934726353
869	0.1934670281
870	0.1934656872
871	0.1934590844
872	0.1934570254
873	0.1934495808
874	0.1934481091
875	0.1934435715
876	0.1934429338
877	0.1934416426
878	0.1934396677
879	0.1934348062
880	0.1934313208
881	0.1934296189
882	0.1934291577
883	0.1934281148
884	0.1934273661
885	0.1934230647
886	0.1934213416
887	0.1934165007
888	0.1934145118
889	0.1934124649
890	0.1934113529
891	0.1934098303
892	0.1934085647
893	0.193408104
894	0.1934048945
895	0.1934018795
896	0.1934012985
897	0.1934000451
898	0.1933970453
899	0.1933957238
900	0.1933903657
901	0.1933870433
902	0.1933863371
903	0.193385718
904	0.1933853754
905	0.1933806857
906	0.1933732996
907	0.1933719507
908	0.1933714169
909	0.1933671338
910	0.1933644462
911	0.1933635167
912	0.1933604123
913	0.1933575973
914	0.193350496
915	0.193347758
916	0.1933438564
917	0.1933393762
918	0.1933374164
919	0.1933315123
920	0.1933283609
921	0.1933239159
922	0.1933187092
923	0.1933152224
924	0.1933148826
925	0.1933110032
926	0.1933075125
927	0.1933062469
928	0.1933047485
929	0.1932980475
930	0.1932974225
931	0.1932940013
932	0.193293523
933	0.1932915395
934	0.1932870854
935	0.1932860679
936	0.1932795651
937	0.1932755231
938	0.1932721526
939	0.1932661732
940	0.193262529
941	0.1932567245
942	0.1932532931
943	0.1932526958
944	0.1932488209
945	0.193246127
946	0.1932448726
947	0.1932426124
948	0.1932380891
949	0.1932329993
950	0.1932288784
951	0.1932280256
952	0.19322755
953	0.1932227766
954	0.193221089
955	0.1932171195
956	0.1932132103
957	0.1932073328
958	0.1932044633
959	0.1932009052
960	0.1931994817
961	0.1931937796
962	0.193192566
963	0.1931913175
964	0.1931872804
965	0.1931817475
966	0.1931788341
967	0.1931773441
968	0.193174287
969	0.1931740461
970	0.1931734505
971	0.1931725675
972	0.1931722342
973	0.1931713461
974	0.1931661556
975	0.1931626066
976	0.1931589839
977	0.1931575349
978	0.1931568693
979	0.1931530931
980	0.1931515574
981	0.1931464206
982	0.193145863
983	0.193143108
984	0.1931394968
985	0.1931386646
986	0.1931354744
987	0.1931316114
988	0.1931289237
989	0.1931254486
990	0.193123349
991	0.1931198214
992	0.1931165283
993	0.1931134094
994	0.1931102238
995	0.1931079908
996	0.193107026
997	0.1931056594
998	0.1931007127
999	0.1930991082
